"Gabon"	4976.198099
"Angola"	3827.940465
"Libya"	3448.284395
"Algeria"	3013.976023
"Djibouti"	2864.969076
"Reunion"	2769.451844
"Namibia"	2621.448058
"Mauritius"	2034.037981
"Sudan"	1770.337074
"Morocco"	1642.002314
"Madagascar"	1589.20275
"Senegal"	1567.653006
"Tunisia"	1395.232468
"Cameroon"	1313.048099
"Zambia"	1311.956766
"Chad"	1308.495577
"Somalia"	1258.147413
"Swaziland"	1244.708364
"Comoros"	1211.148548
"Nigeria"	1100.592563
"Ghana"	1043.561537
"Benin"	959.6010805
"Kenya"	944.4383152
"Togo"	925.9083202
"Botswana"	918.2325349
"Mauritania"	846.1202613
"Niger"	835.5234025
"Uganda"	774.3710692
"Tanzania"	698.5356073
"Liberia"	620.9699901
"Guinea"	576.2670245
"Rwanda"	540.2893983
"Gambia"	520.9267111
"Zimbabwe"	518.7642681
"Mozambique"	495.5868333
"Mali"	490.3821867
"Guinea-Bissau"	431.7904566
"Malawi"	416.3698064
"Burundi"	379.5646281
"Ethiopia"	378.9041632
"Eritrea"	344.1618859
"Lesotho"	335.9971151
"South Africa"	5487.104219
"Sierra Leone"	1004.484437
"Sao Tome and Principe"	860.7369026
"Equatorial Guinea"	426.0964081
"Cote d'Ivoire"	1500.895925
"Congo Rep."	2315.056572
"Congo Dem. Rep."	905.8602303
"Central African Republic"	1190.844328
"Burkina Faso"	617.1834648
